,counts,frac
D_MUR1,121,0.242
D_MUR3,89,0.178
OTH,77,0.154
D_RC1,69,0.138
D_MR3,54,0.108
D_MUR2,40,0.08
D_MR1,38,0.076
D_W1,11,0.022
D_MR2,1,0.002
