lon,lat,object_id,mat_type,mat_tech,mat_prop,llrs,llrs_duct,height,height_1,yr_built,occupy,occupy_dt,str_irreg,str_irreg_dt,str_irreg_type,roof_shape,roofcovmat,roofsysmat,roofsystyp,roof_conn,floor_mat,floor_type,floor_conn,position,plan_shape
7.90333682421692,48.8984811157862,30045,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC1,FWCN,BP2,PLFR
7.90346768854897,48.8968468555134,30088,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES2,IRRE,IRP99,IRN,RSH3,RMT1,RWO,RWO1,RTDP,FC,FC1,FWCP,BP1,PLFR
7.90346921826068,48.8969108246367,30094,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES2,IRRE,IRP99,IRN,RSH3,RMT1,RWO,RWO1,RTDP,FC,FC1,FWCN,BP1,PLFR
7.9021855,48.89651,30116,MUR,MUN99,MO99,LO,DU99,H,2.0,YAPP,RES,RES2,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BP1,PLFR
7.90232358987385,48.8975048509047,30137,MUR,CLBRS,MOL,LO,DU99,H,2.0,YAPP,RES,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDN,FW,FW1,FWCN,BP1,PLFR
7.90040450501201,48.8992577765538,30163,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,EDU,EDU2,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FN,FT99,FWC99,BP1,PLFR
7.90009345571054,48.8992567409839,30171,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,EDU,EDU2,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FN,FT99,FWC99,BP2,PLFR
7.899432,48.898862,30177,MR,RW,MO99,LH,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDN,FW,FW1,FWCN,BPD,PLFR
7.8983784977169,48.8987872739726,30204,MR,RW,MO99,LH,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BP1,PLFR
7.89970182175576,48.8985706801155,30310,MR,RW,MO99,LH,DU99,H,3.0,YAPP,RES,RES2,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCN,BP1,PLFR
7.89820547585548,48.8985398840273,30318,MUR,CLBRS,MOC,LO,DU99,H,3.0,YAPP,RES,RES2,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC1,FWCN,BP1,PLFR
